;date;title;comment
10;2022/01/07;WIG20 chce wyrównać rekord, w grze Orlen, mBank i Biomaxima;Po niskim otwarciu WIG20 odrabia straty. Czyżby chciał wyrównać pochodzący z 1996 roku rekord kolejnych wzrostowych sesji? Będzie to trudne. Szczególnie, że sytuacja na rynkach globalnych dojrzała do tego, żeby przez kilka dni to niedźwiedzie rozdawały karty.
11;2022/01/05;WIG20 z szansą na 9. z rzędu wzrostową sesję, w grze Allegro, Mercator i Unibep;Wczorajsze spadki na Wall Street popsuły nieco nastroje na GPW, ale sunący ku historycznym rekordom niemiecki DAX wspiera giełdowe byki. Czy indeksowi WIG20 uda się zamknąć 9. sesję wzrostem? Będzie to trudne, ale nie niemożliwe.
12;2022/01/04;Gry CD Projektu i Big Cheese Studio wyróżnione w Steam Awards;Dwie polskie produkcje zostały nagrodzone w tegorocznej edycji Steam Awards. Gracze docenili fabułę Cyberpunka 2077 od CD Projektu i VR-owy port Cooking Simulatora od Big Cheese Studio.
13;2022/01/03;Allegro i LPP po dwóch stronach barykady, mocne banki i CD Projekt;Pierwsza w 2022 roku sesja na GPW rozpoczęła się od wzrostów indeksów, czemu towarzyszą wciąż jeszcze świąteczne obroty. Rynek akcji powoli jednak będzie wracał do normalnej aktywności. Nagromadzenie ważnych publikacji makroekonomicznych i posiedzenie Rady Polityki Pieniężnej w tym pomoże.
14;2021/12/27;Noble Securities podtrzymał rekomendację redukuj dla CD Projektu;Maciej Kietliński, analityk Noble Securities, w raporcie z 21 grudnia podtrzymał rekomendację redukuj dla CD Projektu. Cena docelowa poszła w górę o nieco ponad 4 zł do 176,44 zł.
15;2021/12/20;CD Projekt bez efektu netfliksowego Wiedźmina;"Gdy dwa lata temu w serwisie Netflix debiutował pierwszy sezon serialu o przygodach Geralta z Rivii, gry CD Projektu dostały drugą młodość. Tym razem efektu ""wow"" nie ma."
16;2021/12/17;CDPROJEKT – spojrzenie na wykresSTREFA PREMIUM;
17;2021/12/16;Fed w roli giełdowego św. Mikołaja, w grze Allegro, CD Projekt i PGE;Pozytywnie przyjęte przez Wall Street wyniki wczorajszego posiedzenia Fed dały nadzieję na wzrosty globalnych rynków akcji w drugiej połowie grudnia. Pytanie, czy niegrzesząca siłą warszawska giełda z tej szansy skorzysta?
18;2021/12/16;CD Projekt idzie na ugodę z posiadaczami ADR-ów. Zapłaci 7,5 mln zł;CD Projekt zawarł settlement term sheet w związku z ugodą w postępowaniu toczącym się przed Sądem Okręgowym Stanów Zjednoczonych dla okręgu Centralnej Kaliforni, podała spółka. W zamian za zrzeczenie się roszczeń wobec spółki oraz członków jej zarządu, powodom zostanie wypłacona przez spółkę oraz ubezpieczyciela łączna kwota 1,85 mln USD, czyli ok. 7,5 mln zł.
19;2021/12/15;WIG20 spada przed arcyważną decyzją Fed, w grze PKO BP, KGHM i Orlen;PKO BP, KGHM Polska Miedź i PKN Orlen ciągną mocno w dół indeks WIG20, czyniąc go najsłabszym indeksem w Europie. Dziś wydarzeniem dnia będą wyniki posiedzenia Fed, czyli najważniejszego wydarzenia grudnia na rynkach finansowych.
20;2021/12/09;CD Projekt prowadzi rozmowy o potencjalnym zawarciu ugody w zw. z pozwem w USA;Sąd w Kalifornii zawiesił postępowanie wobec CD Projektu ws. premiery Cyberpunka i narażenia inwestorów z USA na straty. Spółka przystąpiła do rozmów z akcjonariuszami i pracuje nad zawarciem ugody.
21;2021/12/02;Allegro, CD Projekt i KGHM hamują odbicie na WIG20;Na światowych giełdach ponownie zagościł strach przed koronawirusem, psując przy okazji warszawskim bykom plan na mocniejsze wzrostowe odreagowanie. Indeks WIG20 spada o 1 proc., ciągnięty w dół przez Allegro, CD Projekt i KGHM. Dużo lepiej radzą sobie indeksy sWIG80 i mWIG40.
22;2021/11/30;Omikron straszy na rynkach akcji, w grze CD Projekt, PCF Group i Votum;Omikron okazuje się być czymś więcej niż zwykłym rynkowym przeziębieniem. Europejskie giełdy spadają, a wraz z nimi parkiet w Warszawie, gdzie dziś głównym tematem stały się wyniki spółek gamingowych.
23;2021/11/29;CD Projekt miał 16 mln zł zysku netto w III kwartale;Tym razem wyniki CD Projektu okazały się znacznie niższe od oczekiwań rynkowych analityków. W III kwartale największy polski producent gier wideo wypracował 144,5 mln zł przychodów ze sprzedaży i 16,3 mln zł zysku netto.
24;2021/11/29;WIG20 z kolejną próbą odbicia, w grze Mercator, Biomed-Lublin i CD Projekt;Mercator złapał wiatr w żagle, preparat Biomedu-Lublin nie przeszedł testów, a CD Projekt rośnie przed wynikami. Poniedziałkowa sesja ma szansę przynieść długo wyczekiwane odbicie.
25;2021/11/26;Cyberpunk 2077 odżył po przecenie;Cyberpunk 2077 za pół ceny to obecnie najlepiej sprzedająca się gra na świece. Co ciekawe, produkcja CD Projektu zbiera też dobre noty. Na przestrzeni 30 dni grę na platformie Steam oceniło 16 tys. graczy, a aż 84 proc. z nich dało pozytyw.
26;2021/11/19;Sesja pod znakiem wyprzedaży złotego i obaw o lockdown, w grze CCC, 11 bit studios i AmRest;Tematem dnia na rynku jest kontynuacja wyprzedaży złotego i lockdown w Austrii. Euro jest najdroższe od 2009 r., a dolar od 2020 r. Zmiany na rynku walutowym sprzyjają eksporterom, w tym producentom gier wideo.
27;2021/10/25;WIG20 próbuje wrócić do wzrostów, w grze JSW i PKN Orlen;GPW wchodzi w gorący okres sezonu publikacji wyników kwartalnych. Przez najbliższe trzy tygodnie to będzie jeden z ważniejszych tematów absorbujących uwagę inwestorów. Jednakże nie jedyny. Spory wpływ będą miały również nastroje na rynkach globalnych.
28;2021/10/22;CD Projekt kupił dewelopera gier The Molasses Flood z USA;CD Projekt Inc. - spółka zależna CD Projekt, podpisała umowę nabycia 60 proc. spółki The Molasses Flood z USA wraz harmonogramem transakcji prowadzącej do nabycia pozostałej części studia i włączenia osób w nim zatrudnionych w struktury grupy kapitałowej CD Projekt, podała spółka, ujawniając opóźnioną informację poufną.
29;2021/10/22;WIG20 próbuje przerwać spadkową serię, odbicie na Allegro, JSW i Ten Square Games;Nowe rekordy na Wall Street, pozytywne informacje z Evergrande i brak pogorszenia sytuacji w europejskim przemyśle, wspierają w piątek nastroje na giełdzie w Warszawie. W WIG20 prym wiodą odreagowujące spadki akcje Allegro i JSW.
30;2021/10/22;Analityk Jefferies obniżył rekomendację dla CD Projektu;Jest pierwsza rekomendacja uwzględniająca środową decyzję CD Projektu o przełożeniu nextgeneowych premier Cyberpunka i Wiedxmina 3. Ken Rumph, analityk Jefferies, obniżył rekomendację dla spółki do poniżej rynku z kupuj, a cenę docelową z 274 zł do 155 zł.
31;2021/10/21;CD P…oślizg warszawskiej giełdy. Banki uratują sesję?;Czwartkowa sesja na GPW rozpoczęła się od spadków i nie ma prawa zakończyć się inaczej. Przecena CD Projektu, taniejące w ślad za surowcami akcje KGHM i JSW, ryzyko spadków na Wall Street, to wszystko trzyma dziś giełdowe byki w szachu. Sesję uratować mogą tylko banki.
32;2021/10/21;Kurs CD Projektu spada po przełożeniu premiery nextgenowych wersji Cyberpunka i Wiedźmina 3;"CD Projekt przełożył termin wprowadzenia gry ""Cyberpunk 2077"" na konsole nowej generacji na I kw. 2022 r., a gry ""Wiedźmin 3: Dziki Gon"" - na II kw. 2022 r. Dotychczas planowano ich wydanie pod koniec br. W czwartek rano notowania największego polskiego producenta gier spadają o blisko 8 proc."
33;2021/10/18;W rejestrze KNF ujawnił się piąty fundusz shortujący akcje CD Projektu;Po kilkumiesięcznej przerwie do otwartej gry na spadki cen akcji CD Projektu wrócił Egerton Capital. Fundusz ma 0,58 proc. akcji na krótko. To piąty fundusz ujawniony w rejestrze KNF.
34;2021/10/15;GPW w kontrze do Europy, przecena na kursach Allegro, PKO BP i CD Projektu;W piątek warszawskie indeksy świecą na czerwono. Spora w tym wina taniejących akcji PKO BP, CD Projekt i PZU. Na szczęście spadki indeksów nie są duże, stąd losy sesji w dalszym ciągu pozostają kwestią otwartą.
35;2021/09/29;Zagraniczne fundusze zmniejszyły pozycje krótkie na JSW i CD Projekcie;Końcówka września przyniosła dwie ciekawe zmiany w rejestrze krótkich pozycji KNF. Numeric Investors i Eminence Capital zmniejszyły swoje pozycje krótkie na akcjach JSW i CD Projektu.
36;2021/09/24;Europejskie indeksy toną w czerwieni, w grze Unimot, KGHM i CD Projekt;Pogorszenie nastrojów na rynkach światowych, w tym szczególnie w Europie, mrozi chęć do kupna akcji na GPW. Gorąco jest natomiast na kilku mniejszych spółkach, jak Unimot czy PGS Software.
37;2021/09/13;BM mBanku wznowił wydawanie rekomendacji dla akcji CD Projektu i Ten Square Games;Po 5 miesiącach przerwy biuro wznowiło pokrycie sektora producentów gier wideo. We wrześniowym raporcie eksperci zalecają kupno akcji dwóch branżowych gigantów.
38;2021/09/09;Spadki na giełdach, ECB może jeszcze uratować sesję;Trzeci kolejny dzień realizacji zysków na giełdzie w Warszawie. Winne są gorsze nastroje na europejskich parkietach przed posiedzeniem ECB i słabość rodzimego sektora bankowego.
39;2021/09/07;Realizacja zysków na spółkach z WIG20, w grze Allegro, CD Projekt i KGHM;Allegro, KGHM i CD Projekt ciągną w dół indeksy WIG20 i WIG. Lepiej radzą sobie indeksy spółek małych i średnich, które rano zdołały poprawić swoje wieloletnie rekordy.
40;2021/09/02;CD Projekt: Naszym celem jest wydanie next-genowej wersji Wiedźmina 3 i Cyberpunka 2077 w końcówce 2021 r.;Na czwartkowym czacie inwestorskim z przedstawicielami CD Projektu stawiło się ponad 1.000 inwestorów. Adam Kiciński i Piotr Nielubowicz omówili najnowsze wyniki finansowe oraz plany wydawnicze studia na najbliższe kwartały.
41;2021/09/02;One man show CD Projektu, w tle wzrosty JSW i Bogdanki;Czwartkowa sesja upływa pod znakiem wzrostów i wysokich obrotów na CD Projekcie. Kurs akcji producenta gier rośnie o 10 proc., czym przyćmił inne spółki. Nawet mocne w ostatnich dniach JSW.
42;2021/09/01;CD Projekt sprawił niespodziankę. Zysk netto okazał się ponad dwukrotnie wyższy od konsensusu;W II kwartale 2021 r. warszawskie studio wypracowało 72,6 mln zł zysku netto. Wynik względem konsensusu opracowanego przez PAP czy Reutersa jest ponad dwukrotnie wyższy.
43;2021/09/01;Zielony początek września, w grze JSW, CD Projekt i ZE PAK;Pierwszy września - dzieci poszły do szkoły, a inwestorzy po nowe rekordy na GPW. Wrzesień to powinien być kolejny dobry miesiąc na warszawskiej giełdzie. Prawdopodobnie nie ostatni.
44;2021/09/01;CDPROJEKT – spojrzenie na wykresSTREFA PREMIUM;
45;2021/08/25;Pod co grają zagraniczne fundusze shortujące akcje 4 polskich spółek?;W końcówce sierpnia zagraniczne fundusze uaktywniły się na GPW. StockWatch.pl zapytał rynkowych ekspertów, co sądzą o obecnych shortach i jakie mogą być przesłanki do gry na spadki cen akcji czterech znanych spółek notowanych na warszawskiej giełdzie.
46;2021/08/23;Warszawska giełda doczekała się odbicia, w grze CCC i Polimex-Mostostal;Nastroje na globalnych rynkach akcji poprawiły się, na czym korzysta również warszawski parkiet. Na mocne wzrosty i nowe rekordy nie ma jednak co liczyć. Nie przed piątkowym wystąpieniem szefa Fed w Jackson Hole.
47;2021/08/17;Mieszane nastroje na giełdach, w centrum uwagi Dino, CCC i PCF;Dino Polska na nowych rekordach, CCC spada po obniżeniu rekomendacji, KGHM czeka na publikację wyników, a inwestorzy przyglądają się spółkom gamingowym. Tak w dużym skrócie prezentuje się sytuacja na warszawskiej giełdzie we wtorek.
48;2021/08/12;Co dalej z hossą na akcjach producentów gier wideo;Bezrefleksyjna hossa w branży gamingowej skończyła się wraz z nieudaną premierą Cyberpunka. Wpadka CD Projektu uświadomiła inwestorom, że akcje producentów gier to nie perpetuum mobile i że nie ma tu pewniaków. Zdaniem ekspertów, branży gamedev nie należy skreślać, szczególnie że na horyzoncie rysuje się kilka ciekawych wydarzeń, które mogą poprawić sentyment do producentów gier.
49;2021/08/10;WIG bije rekordy przy niemal pustej sali, w grze PZU, Asbis i Atal;Warszawski Indeks Giełdowy piąty dzień z rzędu rośnie i poprawia historyczne rekordy. Przysłowiową łyżką dziegciu w beczce miodu są niskie obroty.
50;2021/07/30;Netflix przejmuje CD Projekt, czyli news, który smakuje jak 4 mld USD straty Coca-Coli;"Dziś w ""Subiektywnie o rynku"" kilka słów nie o rynku, a mediach, które o nim piszą. Jak pokazują ostatnie tygodnie, w szeroko rozumianych mediach biznesowych wyścig po kliki wszedł na nowy wyższy poziom."
51;2021/07/29;The Witcher: Monster Slayer przekroczył liczbę 1 mln pobrań w sklepie Google;Mobilna gra wiedźmińska w ciągu tygodnia od premiery przekroczyła 1 mln pobrań w Google Store. W czwartek kurs akcji CD Projektu rośnie o blisko 3 proc.
52;2021/07/21;Nowa gra CD Projektu ma problemy na debiucie;Hard-launch gry The Witcher: Monster Slayer nie obył się bez problemów. Jak poinformowało studio, zespół Spokko pracuje nad przywróceniem dostępu do gry w jak najszybszym czasie.
53;2021/07/14;Banki i CCC ciągną indeksy w górę, dane z USA w centrum uwagi inwestorów;Indeksy WIG20 i mWIG40 rosną, sWIG80 stoi w miejscu, a inwestorzy przyglądają się notowaniom CD Projektu, CCC i banków, czekając na nowe impulsy z USA. Te napłyną w drugiej połowie dnia i zdecydują o losach sesji w Warszawie.
54;2021/07/13;Na GPW nie widać silniejszej reakcji na nowe szczyty notowań na giełdach w USA;Na giełdach w USA rynek odnotował kolejne szczyty notowań, a atmosfera na GPW jest taka jakby dla polskich inwestorów to było bez znaczenia. Polskie akcje nadal konsolidują się pod szczytem historycznych notowań WIG-u. W dalszych wzrostach przeszkadzają wysokie odczyty inflacji na świecie i silny dolar.
55;2021/07/12;Wakacyjna flauta z kilkoma smaczkami, CD Projekt i Rafako w centrum uwagi;Akcje CD Projektu drożeją w poniedziałek o ponad 5 proc. To jednak zbyt mało, żeby mocno pociągnąć w górę WIG20, bo przeciwwagę stanowią banki. W efekcie rynek grzęźnie w wakacyjnym marazmie. Na szczęście na kilku spółkach dzieje się naprawdę sporo, więc jest dużo ciekawiej niż wskazywać na to mogłoby zachowanie samych indeksów.
56;2021/07/08;CD Projekt sfinalizował przejęcie studia Digital Scapes z Kanady;CD Projekt podpisał umowę nabycia Digital Scapes - studia deweloperskiego z siedzibą w Vancouver. W marcu br. spółka informowała o podpisaniu listu intencyjnego z kanadyjskim studiem.
57;2021/07/02;Kurs akcji CD Projektu rośnie po ujawnieniu daty premiery gry The Witcher: Monster Slayer;Warszawskie studio ogłosiło datę premiery mobilnej gry osadzonej w wiedźmińskim uniwersum, która wykorzystuje technologię rozszerzonej rzeczywistości. The Witcher: Monster Slayer zadebiutuje na platformach iOS i Android 21 lipca br.
58;2021/07/01;Fundusze powoli wycofują się z gry na spadki cen akcji CD Projektu;Czwartkowa aktualizacja rejestru krótkiej sprzedaży KNF przyniosła jedną zmianę. SCGE Management zmniejszył pozycję na akcjach CD Projektu i ma mniej niż 0,5 proc. To drugi w tym tygodniu fundusz grający na spadki cen akcji największego polskiego producenta gier, który wykruszył się z rejestru.
59;2021/06/29;Realizacja zysków na GPW, w grze Pharmena i Ten Square Games;Akcje Pharmeny kontynuują wzrosty i drożeją o 30 proc., co kontrastuje ze spadającymi indeksami. Warszawska giełda dziś jest jedną z najsłabszych w Europie.
60;2021/06/28;DM BDM mocno ściął wycenę CD Projektu;Krzysztof Tkocz, analityk DM BDM, w raporcie z 21 czerwca obniżył rekomendację dla CD Projektu do redukuj z ceną docelową 167 zł za akcję.
61;2021/06/23;CD Projekt: otworzyliśmy się bardziej na możliwość akwizycji, jesteśmy na finiszu przejęcia studia w Kanadzie;CD Projekt nie wyklucza możliwości przeprowadzenia akwizycji, ale jednocześnie skupia się na wzroście organicznym, poinformował prezes Adam Kiciński. Spółka chciałaby już w przyszłym roku pracować nad dwoma grami AAA jednocześnie, dodał.
62;2021/06/22;Wakacyjna sesja na GPW, Lotos najdroższy od prawie roku;Wczorajsze mocne wzrosty na Wall Street, ani dzisiejsze dobre dane z polskiej gospodarki, nie dały kopa warszawskiej giełdzie. To nie musi oznaczać ignorowania pozytywnych impulsów i zmiany sentymentu na giełdzie. To może być po prostu coroczne wakacyjne rozluźnienie.
63;2021/06/18;Trzy wiedźmy szykują się do tańca na GPW. KGHM drożeje po odcięciu dywidendy;Wszystko, co najciekawsze na GPW, dopiero może się wydarzyć. Wygasające w piątek czerwcowe serie kontraktów mogą ożywić tę dość senną w pierwszej połowie dnia sesję na warszawskiej giełdzie. Szczególnie dotyczy to blue chipów.
64;2021/06/16;Świat wstrzymuje oddech przed decyzją FOMC, w grze CD Projekt i CCC;Sesja na GPW rozpoczęła się od sporych wahań na akcjach CD Projektu, co odcisnęło swe piętno na porannych notowaniach WIG20. Druga połowa dnia może jednak być już zdominowana przez wyczekiwanie na wieczorne wyniki posiedzenia FOMC.
65;2021/06/15;Cyberpunk 2077 wraca do sklepu PlayStation Store;Na tę decyzję czekały nie tylko rzesze graczy, ale przede wszystkim inwestorzy. Po sześciu miesiącach nieobecności Cyberpunk wróci do sklepu Sony.
66;2021/06/15;CD Projekt walczy o powrót powyżej 200 zł, w grze także KGHM i Allegro;Wzrosty na otwarciu, a później obniżanie lotów i w efekcie zejście indeksów poniżej kreski. Giełdzie w Warszawie wyraźnie brakuje impulsów mogących pociągnąć ją w górę. Samo dobre zachowanie CD Projektu to za mało. Szczególnie, jak traci większość spółek z KGHM na czele.
67;2021/06/14;Wzrosty na giełdach z FOMC w tle. Dino odbija, podwójne dno na CD Projekcie;Zazieleniło się w poniedziałek na warszawskiej giełdzie. Wzrosty mogłyby być jeszcze większe, gdyby elementu niepewności nie wprowadzało środowe posiedzenie FOMC.
68;2021/06/11;Korekcyjne nastroje w Warszawie, w centrum uwagi spółki gamingowe;Korekcyjne nastroje zdominowały pierwszą połowę piątkowej sesji. W pierwszej połowie dnia opierał się im jedynie mWIG40, którego na plusach utrzymywało dobre zachowanie m.in. Ten Square Games. Dziś w centrum uwagi znalazły się też inne spółki gamingowe.
69;2021/06/09;Sony wycofuje się z bezwarunkowych zwrotów Cyberpunka;"Producent konsol 18 czerwca usunie specjalny formularz sieciowy dotyczący zwrotów Cyberpunka 2077. Reklamacje będą rozpatrywane na ""starych"" zasadach."
70;2021/06/09;Na GPW cisza przed burzą, w grze CD Projekt i Prairie Mining;W środę małe i średnie spółki idą nieśmiało w górę, a duże zmagają się z korektą. W centrum uwagi znalazły się m.in. akcje spółek Prairie Mining, CD Projekt, Inter Cars, czy Farm51.
71;2021/06/07;CD PROJEKT – czy warto założyć niedźwiedzią skórę?STREFA PREMIUM;
72;2021/06/07;DM BOŚ zaleca sprzedaż akcji CD Projektu;Tomasz Rodak, analityk DM BOŚ, w raporcie z 30 maja obniżył długoterminową rekomendację fundamentalną do sprzedaj (poprzednio neutralnie). 12-miesięczna wycena akcji - skorygowana o stawkę dywidendy - wynosi 137 zł za walor.
73;2021/06/02;Fundusze shortujące akcje CD Projektu idą w zaparte;Wydawałoby się, że wtorkowa ponad 9-proc. przecena akcji CD Projektu będzie dobrym momentem dla funduszy grających na spadki, by choć trochę skrócić pozycję i zrealizować zysk. Nic z tych rzeczy. Według najnowszej aktualizacji Eminence Capital zwiększył pozycję z 0,67 proc. do 0,85 proc.
74;2021/06/02;Mabion wciąga sWIG80 na 14-letnie rekordy, w grze CD Projekt, Asseco Poland i Kruk;Kolejna zielona sesja w Warszawie. Chociaż bez fajerwerków. sWIG80 poprawia 14-letnie rekordy, podczas gdy pozostałe indeksy notowane są na małych plusach. Gorąco jest na akcjach spółek: Mabion, CD Projekt, Asseco i Kruk.
75;2021/06/01;Przecena CD Projektu nie zatrzymała WIG20, w grze Mercator i KGHM;Giełda w Warszawie kontynuuje wzrosty. Przede wszystkim indeks WIG20, który większą wagę przykłada do mocnych odczytów indeksów PMI niż do rozczarowujących wyników kwartalnych CD Projektu.
76;2021/05/31;Wyniki za I kwartał pokazały skalę kryzysu w CD Projekcie;Najnowsze wyniki CD Projektu okazały się gorsze od prognoz największych pesymistów. Branżowy gigant kwartał po premierze jednej z najbardziej wyczekiwanych gier na świecie zarobił trzy razy mniej niż rok wcześniej.
77;2021/05/31;Odczyt PKB dmuchnął w żagle giełdy, w grze CD Projekt i Wikana;W USA i Wielkiej Brytanii świętują, na GPW indeksy lekko rosną, CD Projekt spada po odcięciu dywidendy, Wikana wystrzeliła po wynikach, a dane o polskim PKB potwierdziły, że założenie o hossie w Warszawie napędzanej przez silne popademiczne odbicie w gospodarce jest jak najbardziej słuszne.
78;2021/05/28;Ruszają dywidendowe żniwa na GPW. W czerwcu zyskiem podzieli się blisko 50 spółek;Sezon dzielenia ubiegłorocznych zysków rusza z przytupem. W czerwcowym kalendarium jest już blisko 50 spółek gotowych do wypłaty dywidendy. Ponad 1/3 z nich oferuje stopy przekraczające 5 proc.
79;2021/05/28;Indeksy coraz wyżej, w grze CD Projekt, Biomed-Lublin i Kęty;Kolejna wzrostowa sesja w Warszawie. WIG20 wyznacza nowe 1,5-roczne maksima. Rynkowy optymizm jest również widoczny na pozostałych indeksach. W centrum uwagi jest CD Projekt, PKO BP i KGHM, a także tracący po wynikach Biomed oraz Kęty, od których została odcięta dywidenda.
80;2021/05/27;WIG zbliża się do historycznych rekordów, w grze CD Projekt, PZU i Esotiq;Optymistycznie zrobiło się na giełdzie w Warszawie. Indeksy mWIG40, WIG20 i WIG testują wielomiesięczne maksima. Ten ostatni dzieli niespełna 5 proc. od historycznych rekordów. Cieszy również silny wzrost CD Projektu, który przez ostatnie 3,5 miesiąca mocno ciążył indeksowi WIG20.
81;2021/05/27;Kurs CD Projektu w górę po transakcjach Michała Kicińskiego;W czwartek rano akcje CD Projektu drożeją o ponad 6 proc. Impulsem do wzrostów okazał się komunikat o zwiększeniu zaangażowania w spółkę przez Michała Kicińskiego.
82;2021/05/26;WIG20 najwyżej od stycznia 2020 r., zielono przede wszystkim na Pepco, PGE i Tauronie;Udany debiut Pepco na GPW, mocna energetyka, przecena na Mo-Bruku i WIG20 najwyżej od stycznia 2020 - tak w dużym skrócie prezentowało się dzisiejsze przedpołudnie na warszawskiej giełdzie.
83;2021/05/25;Dywidenda i wyniki, czyli trzy ważne daty dla akcjonariuszy CD Projektu;Przed akcjonariuszami CD Projektu kilka ważnych terminów. Na przełomie maja i czerwca producent gier podzieli 0,5 mld zł dywidendy i opublikuje wyniki za I kwartał 2021 r.
84;2021/05/18;WIG20 najwyżej od stycznia 2020 r., w grze Allegro i KGHM;"Wtorkowa sesja ma dość spokojny przebieg, ale jej wymowa jest mocno optymistyczna. Optymizmem powiało też z Allegro, które najprawdopodobniej okres ""oczyszczenia"" ma już za sobą. Jeżeli dołączy do niego CD Projekt to tegoroczny maj może być bardzo udany dla indeksu blue chipów."
85;2021/05/18;DM BOŚ obniżył cenę docelową akcji CD Projektu;Tomasz Rodak, analityk DM BOŚ, w raporcie z 10 maja utrzymał długoterminową rekomendację fundamentalną trzymaj dla CD Projektu. 12-miesięczna wycena docelowa uległa obniżeniu do 142 zł za akcję.
86;2021/05/12;Kurs akcji CD Projektu wystrzelił. Citadel Advisors wycofuje się z shortów;Po wielu tygodniach spadków akcjonariusze CD Projektu doczekali się odbicia. W środę notowania spółki momentami były równoważone, a TKO wskazywał na ponad 11-proc. wzrost. Ruch na akcjach zbiegł się w czasie z aktualizacją rejestru krótkiej sprzedaży KNF.
87;2021/04/30;Banki złapały zadyszkę, w grze CD Projekt, Alior i mBank;Indeks dużych spółek od rana walczy, żeby pozostać na plusach i jednocześnie zanegować podażową wymowę wczorajszej sesji. Jeżeli to się uda to duża w tym zasługa będzie CD Projektu. Zaskakująco słabo w piątek radzą sobie banki. To powinien być ich dzień.
88;2021/04/29;EuroRating negatywnie o perspektywie ratingu kredytowego CD Projektu;Agencja ratingowa EuroRating zmieniła perspektywę ratingu kredytowego CD Projektu ze stabilnej na negatywną. Rating został utrzymany na niezmienionym poziomie BBB.
89;2021/04/26;WIG20 cały czas poniżej 2.000 pkt., w grze CD Projekt, Mercator i XTB;Mocne wzrostowe odbicie na Mercatorze kontra nowe 2,5-letnie minima na CD Projekcie. A to wszystko u progu bardzo ciekawego tygodnia giełdowego. Tak w dużym skrócie można podsumować poniedziałkowe przedpołudnie na GPW.
90;2021/04/23;CD Projekt: Naszym priorytetem jest dalsze usprawnianie Cyberpunka;Gośćmi piątkowego czatu inwestorskiego StockWatch.pl byli przedstawiciele CD Projektu: Adam Kiciński, prezes zarządu i Piotr Nielubowicz, wiceprezes ds. finansowych. Tematem spotkania były wyniki finansowe za 2020 r., Cyberpunk 2077, tegoroczna dywidenda oraz kolejne projekty.
